City_ID,City,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Country,Description
0,Pamplona,42.8169,-1.6432,34.0,32.0,93,0,3.44,ES,clear sky
1,Ushuaia,-54.8,-68.3,41.0,41.0,93,75,33.38,AR,light intensity drizzle
2,Kahului,20.8947,-156.47,71.6,68.0,94,75,12.66,US,moderate rain
3,Cape Town,-33.9258,18.4232,61.0,60.01,94,0,10.36,ZA,clear sky
4,Atar,20.5169,-13.0499,61.23,61.23,19,38,9.6,MR,scattered clouds
5,Hermanus,-34.4187,19.2345,62.01,62.01,86,38,4.0,ZA,scattered clouds
6,Saint-Augustin,51.226,-58.6502,25.75,25.75,81,99,20.69,CA,overcast clouds
7,Puri,19.8,85.85,84.2,84.2,65,75,8.05,IN,broken clouds
8,Samarai,-10.6167,150.6667,86.47,86.47,70,75,11.72,PG,broken clouds
9,Norman Wells,65.282,-126.8329,-4.0,-4.0,65,75,11.5,CA,snow
10,Bambous Virieux,-20.3428,57.7575,84.0,82.4,69,40,11.5,MU,light rain
11,Zarand,30.8127,56.564,64.69,64.69,15,14,45.92,IR,few clouds
12,Mataura,-46.1927,168.8643,64.99,64.99,71,0,5.99,NZ,clear sky
13,East London,-33.0153,27.9116,75.2,75.2,73,0,8.05,ZA,clear sky
14,Saskylakh,71.9167,114.0833,-14.67,-14.67,89,9,15.99,RU,clear sky
15,Provideniya,64.3833,-173.3,30.25,30.25,96,100,31.63,RU,snow
16,Goundam,16.4145,-3.6708,63.34,63.34,25,36,9.28,ML,scattered clouds
17,Koroni,36.8,21.95,50.0,41.0,87,20,7.74,GR,few clouds
18,Tuktoyaktuk,69.4541,-133.0374,-7.6,-7.6,77,90,16.11,CA,snow
19,Ancud,-41.8697,-73.8203,48.2,48.2,87,0,2.3,CL,clear sky
20,Busselton,-33.65,115.3333,71.01,71.01,49,0,4.0,AU,clear sky
21,Lavrentiya,65.5833,-171.0,15.84,15.84,93,100,21.54,RU,snow
22,Yellowknife,62.456,-114.3525,-2.0,-2.2,71,1,10.36,CA,clear sky
23,Castro,-24.7911,-50.0119,60.12,60.12,96,19,3.94,BR,few clouds
24,Kalabo,-14.97,22.6814,65.46,65.46,95,92,5.21,ZM,overcast clouds
25,Sechenovo,55.2244,45.8906,5.16,5.16,89,92,14.88,RU,overcast clouds
26,Vila,42.0304,-8.1588,37.0,37.0,94,62,1.99,PT,broken clouds
27,Longyearbyen,78.2186,15.6401,12.2,12.2,79,75,6.91,SJ,broken clouds
28,Hobart,-42.8794,147.3294,68.0,59.0,56,75,21.85,AU,broken clouds
29,Nuevo Progreso,23.1667,-97.95,73.99,73.0,72,34,3.0,MX,scattered clouds
30,Tiksi,71.6872,128.8694,-10.48,-10.48,93,100,9.84,RU,overcast clouds
31,Vaini,-21.2,-175.2,78.8,78.8,83,75,9.22,TO,light rain
32,Vardo,70.3705,31.1107,22.1,22.1,84,99,15.73,NO,overcast clouds
33,Flinders,-34.5833,150.8552,84.99,80.01,71,43,4.0,AU,light rain
34,Rikitea,-23.1203,-134.9692,79.88,79.88,75,91,9.06,PF,overcast clouds
35,Fortuna,40.5982,-124.1573,48.99,45.0,87,90,8.05,US,overcast clouds
36,Airai,-8.9266,125.4092,70.95,70.95,86,94,0.92,TL,overcast clouds
37,La Rioja,42.25,-2.5,39.0,35.6,93,0,5.03,ES,clear sky
38,Katsuura,35.1333,140.3,62.6,55.0,94,75,9.22,JP,broken clouds
39,Carnarvon,-24.8667,113.6333,95.0,95.0,34,2,12.66,AU,clear sky
40,Labuhan,-6.8844,112.2051,85.23,85.23,68,93,6.67,ID,overcast clouds
41,Omsukchan,62.5333,155.8,-4.67,-4.67,91,100,7.18,RU,overcast clouds
42,Zima,53.9202,102.0442,30.31,30.31,95,91,4.14,RU,overcast clouds
43,Banjar,-8.19,114.9675,93.2,93.2,59,40,10.36,ID,scattered clouds
44,Sisimiut,66.9395,-53.6735,10.15,10.15,81,82,5.95,GL,broken clouds
45,Pacific Grove,36.6177,-121.9166,53.6,48.0,76,75,4.61,US,broken clouds
46,Port Elizabeth,-33.918,25.5701,64.4,64.4,94,0,3.44,ZA,clear sky
47,Hilo,19.7297,-155.09,75.2,66.99,73,75,4.61,US,light rain
48,Coquimbo,-29.9533,-71.3436,60.8,60.8,82,90,4.61,CL,overcast clouds
49,Sao Joao Da Barra,-21.6403,-41.0511,75.94,75.94,91,91,1.03,BR,overcast clouds
50,Richards Bay,-28.783,32.0377,73.6,73.6,85,2,11.36,ZA,clear sky
51,Upernavik,72.7868,-56.1549,-2.7,-2.7,65,17,1.99,GL,few clouds
52,Ikeda,34.8221,135.4298,57.2,45.0,62,40,18.41,JP,scattered clouds
53,Dikson,73.5069,80.5464,-12.57,-12.57,91,100,24.05,RU,overcast clouds
54,Jacareacanga,-6.2222,-57.7528,72.63,72.63,96,43,0.94,BR,scattered clouds
55,Mayna,54.1135,47.6231,3.42,3.42,91,59,11.25,RU,broken clouds
56,Rybinsk,58.0446,38.8426,19.54,19.54,90,100,15.01,RU,light snow
57,Broome,42.2506,-75.833,30.2,27.0,47,1,20.71,US,clear sky
58,Butaritari,3.0707,172.7902,81.5,81.5,75,71,10.76,KI,broken clouds
59,Bluff,-46.6,168.3333,64.99,64.99,71,0,5.99,NZ,clear sky
60,Pochutla,15.7432,-96.4661,78.01,78.01,67,0,2.64,MX,clear sky
61,Krasnyy Chikoy,50.3643,108.7512,43.74,43.74,63,76,3.69,RU,broken clouds
62,Port Lincoln,-34.7333,135.8667,62.85,62.85,53,39,21.72,AU,scattered clouds
63,Sekoma,-24.4,23.8833,67.26,67.26,78,37,8.37,BW,scattered clouds
64,Tasiilaq,65.6145,-37.6368,10.4,10.4,92,70,4.61,GL,broken clouds
65,Bengkulu,-3.8004,102.2655,85.06,85.06,63,72,7.36,ID,broken clouds
66,Oussouye,12.485,-16.5469,69.46,69.46,22,0,5.93,SN,clear sky
67,Marsa Matruh,31.3525,27.2453,57.2,57.2,58,75,10.36,EG,broken clouds
68,Watertown,42.3709,-71.1828,50.0,44.6,34,1,19.57,US,clear sky
69,Mount Isa,-20.7333,139.5,93.2,93.2,33,53,14.97,AU,broken clouds
